nombreOriginal;Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;esCruce;tipoVia;palabrasClave;idVia
CALL. PRADILLO;2019S000306;04/01/2019;17:10; CALLE PRADILLO;26;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;0;Calle;PRADILLO;606400
CALL. CAÑON DEL RIO LOBOS;2019S000641;04/01/2019;13:35; CALLE CAÑON DEL RIO LOBOS; 7A;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;07;0;Calle;CAÑON RIO LOBOS;2612
CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO;2019S000904;07/01/2019;14:00;CALLE NUESTRA SEÑORA DE VALVERDE;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;2;Calle;NUESTRA SEÑORA VALVERDE;540200
CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO;2019S000904;07/01/2019;14:00;CALLE DOCTOR JUAN BRAVO;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;2;Calle;DOCTOR JUAN BRAVO;242500
CALL. PUERTO DE LA CRUZ VERDE;2019S002373;08/01/2019;20:55; CALLE PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;14;0;Calle;PUERTO CRUZ VERDE;869
CALL. PUERTO DE LA CRUZ VERDE;2019S002373;08/01/2019;20:55; CALLE PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 35 A 39 AÑOS;Hombre;07;0;Calle;PUERTO CRUZ VERDE;869
C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;2019S001738;08/01/2019;13:03;CALLE MONASTERIO DE ARLANZA;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;2;Calle;MONASTERIO ARLANZA;31000143
C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;2019S001738;08/01/2019;13:03;AVENIDA SANTUARIO DE VALVERDE;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;2;Avenida;SANTUARIO VALVERDE;31000137
CALL. ANTONIO DE LEYVA;2019S001943;09/01/2019;14:50; CALLE ANTONIO DE LEYVA;84;CARABANCHEL;Colisión lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;0;Calle;ANTONIO LEYVA;59100
CALL. GRAN VIA;2019S001678;09/01/2019;12:50; CALLE GRAN VIA;66;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;;0;Calle;GRAN VIA;342950
PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO;2019S002882;10/01/2019;20:30;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02;2;Paseo;JUAN ANTONIO VALLEJO-NAJERA BOTAS;917
PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO;2019S002882;10/01/2019;20:30;CALLE GASOMETRO;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02;2;Calle;GASOMETRO;326900
CALL. GRAN VIA / CALL. SAN BERNARDO;2019S003283;11/01/2019;16:00;CALLE GRAN VIA;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;14;2;Calle;GRAN VIA;342950
CALL. GRAN VIA / CALL. SAN BERNARDO;2019S003283;11/01/2019;16:00;CALLE SAN BERNARDO;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;14;2;Calle;SAN BERNARDO;661700
POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;2019S002594;12/01/2019;22:45;POLIGONO ALUCHE;-;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;3;Poligono;ALUCHE;-1
POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;2019S002594;12/01/2019;22:45;AVENIDA DE LOS POBLADOS;-;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;3;Avenida;POBLADOS;600400
POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;2019S002594;12/01/2019;22:45;CALLE SECOYA;-;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;3;Calle;SECOYA;1705
CALL. GENERAL RICARDOS / GTA. VALLE DE ORO;2019S006584;12/01/2019;22:25;CALLE GENERAL RICARDOS;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;2;Calle;GENERAL RICARDOS;332700
CALL. GENERAL RICARDOS / GTA. VALLE DE ORO;2019S006584;12/01/2019;22:25;GLORIETA VALLE DE ORO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;2;Glorieta;ORO;768000
AVDA. POBLADOS / CALL. SECOYA;2019S002591;12/01/2019;22:15;AVENIDA POBLADOS;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;2;Avenida;POBLADOS;600400
AVDA. POBLADOS / CALL. SECOYA;2019S002591;12/01/2019;22:15;CALLE SECOYA;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;2;Calle;SECOYA;1705
AVDA. ENSANCHE DE VALLECAS;2019S003364;12/01/2019;13:03; AVENIDA ENSANCHE DE VALLECAS;44;VILLA DE VALLECAS;Colisión fronto-lateral;Se desconoce;Bicicleta;Conductor;DE 15 A 17 AÑOS;Mujer;07;0;Avenida;ENSANCHE VALLECAS;31000474
CALL. SANCHIDRIAN;2019S002704;12/01/2019;13:00; CALLE SANCHIDRIAN; 13A;LATINA;Alcance;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;14;0;Calle;SANCHIDRIAN;689775
CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS;2019S003463;14/01/2019;22:45;CALLE MIGUEL ANGEL;-;CHAMBERÍ;Colisión fronto-lateral;;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;;2;Calle;MIGUEL ANGEL;505700
CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS;2019S003463;14/01/2019;22:45;PASEO GENERAL MARTINEZ CAMPOS;-;CHAMBERÍ;Colisión fronto-lateral;;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;;2;Paseo;GENERAL MARTINEZ CAMPOS;331100
PASEO. EL PARDO;2019S004134;14/01/2019;20:20; PASEO EL PARDO;37;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;02;0;Paseo;PARDO;563700
CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ;2019S003277;14/01/2019;16:30;CALLE SANTA GENOVEVA;-;CIUDAD LINEAL;Colisión lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;14;2;Calle;SANTA GENOVEVA;695400
CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ;2019S003277;14/01/2019;16:30;PLAZA AGUSTIN GONZALEZ;-;CIUDAD LINEAL;Colisión lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;14;2;Plaza;AGUSTIN GONZALEZ;31001046
CALL. FLORA;2019S002788;14/01/2019;11:10; CALLE FLORA;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07;0;Calle;FLORA;298000
PLAZA. CONDE DEL VALLE DE SUCHIL;2019S003749;16/01/2019;15:20; PLAZA CONDE DEL VALLE DE SUCHIL;3;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Mujer;07;0;Plaza;CONDE VALLE SUCHIL;206900
AVDA. DAROCA / CALL. NICOLAS SALMERON;2019S003306;16/01/2019;9:00;AVENIDA DAROCA;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;06;2;Avenida;DAROCA;233600
AVDA. DAROCA / CALL. NICOLAS SALMERON;2019S003306;16/01/2019;9:00;CALLE NICOLAS SALMERON;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;06;2;Calle;NICOLAS SALMERON;533550
CALL. ARENAL / CALL. DONADOS;2019S004601;17/01/2019;19:50;CALLE ARENAL;-;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;2;Calle;ARENAL;68300
CALL. ARENAL / CALL. DONADOS;2019S004601;17/01/2019;19:50;CALLE DONADOS;-;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;2;Calle;DONADOS;248900
CALL. SERRANO;2019S004151;17/01/2019;16:15; CALLE SERRANO;141;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;14;0;Calle;SERRANO;710300
CALL. DOCE DE OCTUBRE;2019S003662;17/01/2019;6:00; CALLE DOCE DE OCTUBRE;26;RETIRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;02;0;Calle;DOCE OCTUBRE;239500
AVDA. FERMINA SEVILLANO;2019S004271;18/01/2019;18:05; AVENIDA FERMINA SEVILLANO;42;SAN BLAS-CANILLEJAS;Colisión frontal;;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;;0;Avenida;FERMINA SEVILLANO;292100
CALL. VILLABLANCA;2019S005101;18/01/2019;13:00; CALLE VILLABLANCA;11;VICÁLVARO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;02;0;Calle;VILLABLANCA;785400
CALL. GENOVA;2019S004769;18/01/2019;7:55; CALLE GENOVA;2;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02;0;Calle;GENOVA;334800
PLAZA. INDEPENDENCIA / CALL. ALCALA;2019S004528;19/01/2019;21:10;PLAZA INDEPENDENCIA;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;2;Plaza;INDEPENDENCIA;372700
PLAZA. INDEPENDENCIA / CALL. ALCALA;2019S004528;19/01/2019;21:10;CALLE ALCALA;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;2;Calle;ALCALA;18900
CTRA. EL PARDO A FUENCARRAL;2019S004582;19/01/2019;11:10; CARRETERA EL PARDO A FUENCARRAL;0;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;02;0;Carretera;PARDO FUENCARRAL;563900
CALL. SAN ENRIQUE DE OSSO;2019S004939;21/01/2019;16:50; CALLE SAN ENRIQUE DE OSSO;36;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;02;0;Calle;SAN ENRIQUE OSSO;2683
AVDA. ALBUFERA;2019S005062;23/01/2019;15:38; AVENIDA ALBUFERA;149;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;14;0;Avenida;ALBUFERA;18600
AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC;2019S007634;24/01/2019;19:58;AVENIDA ALBUFERA;-;PUENTE DE VALLECAS;Otro;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;14;2;Avenida;ALBUFERA;18600
AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC;2019S007634;24/01/2019;19:58;CALLE PUERTO DE CANFRANC;-;PUENTE DE VALLECAS;Otro;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;14;2;Calle;PUERTO CANFRANC;616200
CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE BRAVO MURILLO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;2;Calle;BRAVO MURILLO;114600
CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE PENSAMIENTO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;2;Calle;PENSAMIENTO;576800
CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE BRAVO MURILLO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Peatón;DE 55 A 59 AÑOS;Mujer;07;2;Calle;BRAVO MURILLO;114600
CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE PENSAMIENTO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Peatón;DE 55 A 59 AÑOS;Mujer;07;2;Calle;PENSAMIENTO;576800
CALLE ALFONSO XI , CALLE ALCALA;2019S005992;25/01/2019;9:12;CALLE ALFONSO XI;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;2;Calle;ALFONSO XI;27400
CALLE ALFONSO XI , CALLE ALCALA;2019S005992;25/01/2019;9:12;CALLE ALCALA;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;2;Calle;ALCALA;18900
CALL. GRAN VIA;2019S010907;25/01/2019;4:00; CALLE GRAN VIA;78;CENTRO;Colisión fronto-lateral;Se desconoce;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;05;0;Calle;GRAN VIA;342950
CALL. MARIA DE MOLINA;2019S006032;26/01/2019;21:35; CALLE MARIA DE MOLINA;60;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07;0;Calle;MARIA MOLINA;477300
CALL. ALCALA;2019S006501;27/01/2019;16:15; CALLE ALCALA;44;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;0;Calle;ALCALA;18900
CALL. ALCALA;2019S006501;27/01/2019;16:15; CALLE ALCALA;44;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 25 A 29 AÑOS;Mujer;14;0;Calle;ALCALA;18900
CALL. MENDEZ ALVARO / CALL. TITAN;2019S006478;28/01/2019;18:00;CALLE MENDEZ ALVARO;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;2;Calle;MENDEZ ALVARO;501700
CALL. MENDEZ ALVARO / CALL. TITAN;2019S006478;28/01/2019;18:00;CALLE TITAN;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;2;Calle;TITAN;31000407
PASEO. RECOLETOS;2019S013729;29/01/2019;16:26; PASEO RECOLETOS;23;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02;0;Paseo;RECOLETOS;633005
AVDA. CARABANCHEL ALTO;2019S006655;30/01/2019;13:20; AVENIDA CARABANCHEL ALTO;122;CARABANCHEL;Colisión frontal;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Mujer;01;0;Avenida;CARABANCHEL ALTO;329600
CALL. TOMASA RUIZ;2019S006649;30/01/2019;11:41; CALLE TOMASA RUIZ;1;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;;0;Calle;TOMASA RUIZ;745300
CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO;2019S007855;01/02/2019;13:30;CALLE DOCTOR ESQUERDO;-;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07;2;Calle;DOCTOR ESQUERDO;241300
CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO;2019S007855;01/02/2019;13:30;CALLE DOCTOR ESQUERDO;-;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07;2;Calle;DOCTOR ESQUERDO;241300
CALL. SANTA ENGRACIA / CALL. RIOS ROSAS;2019S008460;01/02/2019;1:40;CALLE SANTA ENGRACIA;-;CHAMBERÍ;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;2;Calle;SANTA ENGRACIA;694525
CALL. SANTA ENGRACIA / CALL. RIOS ROSAS;2019S008460;01/02/2019;1:40;CALLE RIOS ROSAS;-;CHAMBERÍ;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;2;Calle;RIOS ROSAS;642000
CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO;2019S007891;01/02/2019;0:15;CALLE FRANCISCO SANTOS;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07;2;Calle;FRANCISCO SANTOS;309900
CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO;2019S007891;01/02/2019;0:15;CALLE MARTINEZ IZQUIERDO;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07;2;Calle;MARTINEZ IZQUIERDO;491000
CALL. MARTINEZ DE LA RIVA;2019S010276;02/02/2019;11:30; CALLE MARTINEZ DE LA RIVA;4;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;;0;Calle;MARTINEZ RIVA;491500
CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MARCELO USERA;-;USERA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;14;2;Calle;MARCELO USERA;472000
CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MANUEL NOYA;-;USERA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;14;2;Calle;MANUEL NOYA;466100
CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MARCELO USERA;-;USERA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 70 A 74 AÑOS;Mujer;07;2;Calle;MARCELO USERA;472000
CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MANUEL NOYA;-;USERA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 70 A 74 AÑOS;Mujer;07;2;Calle;MANUEL NOYA;466100
CALL. MARIA DE MOLINA;2019S007753;02/02/2019;0:03; CALLE MARIA DE MOLINA;18;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;02;0;Calle;MARIA MOLINA;477300
CALL. ALTAMIRANO / PASEO. PINTOR ROSALES;2019S008637;03/02/2019;17:00;CALLE ALTAMIRANO;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;06;2;Calle;ALTAMIRANO;37000
CALL. ALTAMIRANO / PASEO. PINTOR ROSALES;2019S008637;03/02/2019;17:00;PASEO PINTOR ROSALES;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;06;2;Paseo;PINTOR ROSALES;596300
CALL. AGUSTIN DE FOXA;2019S008855;06/02/2019;19:40; CALLE AGUSTIN DE FOXA;30;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;06;0;Calle;AGUSTIN FOXA;10200
CALL. ALCALA;2019S008627;06/02/2019;17:30; CALLE ALCALA;173;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;;0;Calle;ALCALA;18900
CALL. GRAN VIA / CALL. ALCALA;2019S009150;06/02/2019;16:40;CALLE GRAN VIA;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;05;2;Calle;GRAN VIA;342950
CALL. GRAN VIA / CALL. ALCALA;2019S009150;06/02/2019;16:40;CALLE ALCALA;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;05;2;Calle;ALCALA;18900
CALL. JUAN BRAVO;2019S008489;06/02/2019;10:25; CALLE JUAN BRAVO;17;SALAMANCA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02;0;Calle;JUAN BRAVO;411300
AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA LLANO CASTELLANO;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02;2;Avenida;LLANO CASTELLANO;450350
AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA CARDENAL HERRERA ORIA;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02;2;Avenida;CARDENAL HERRERA ORIA;141550
AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA LLANO CASTELLANO;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 15 A 17 AÑOS;Mujer;07;2;Avenida;LLANO CASTELLANO;450350
AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA CARDENAL HERRERA ORIA;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 15 A 17 AÑOS;Mujer;07;2;Avenida;CARDENAL HERRERA ORIA;141550
CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS;2019S009106;07/02/2019;18:50;CALLE PRINCIPE DE VERGARA;-;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;06;2;Calle;PRINCIPE VERGARA;610450
CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS;2019S009106;07/02/2019;18:50;GLORIETA LOPEZ DE HOYOS;-;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;06;2;Glorieta;LOPEZ HOYOS;441310
CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS;2019S009136;07/02/2019;16:10;CALLE VALLEHERMOSO;-;CHAMBERÍ;Alcance;;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;;2;Calle;VALLEHERMOSO;768800
CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS;2019S009136;07/02/2019;16:10;CALLE FERNANDEZ DE LOS RIOS;-;CHAMBERÍ;Alcance;;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;;2;Calle;FERNANDEZ RIOS;293500
CALL. PRADILLO;2019S009001;07/02/2019;9:15; CALLE PRADILLO;42;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;0;Calle;PRADILLO;606400
